#space, t0,...,t_Nt-1
0.05, 1, 0.5, 0.25, 0.125, 0.0625, 0.03125, 0.015625, 0.0078125, 0.00390625, 0.00195312, 
0.15, 1, 0.75, 0.5, 0.3125, 0.1875, 0.109375, 0.0625, 0.0351562, 0.0195312, 0.0107422, 
0.25, 1, 0.875, 0.6875, 0.5, 0.34375, 0.226562, 0.144531, 0.0898438, 0.0546875, 0.0327148, 
0.35, 1, 0.9375, 0.8125, 0.65625, 0.5, 0.363281, 0.253906, 0.171875, 0.113281, 0.072998, 
0.45, 1, 0.96875, 0.890625, 0.773438, 0.636719, 0.5, 0.376953, 0.274414, 0.193848, 0.133423, 
0.55, 0, 0.484375, 0.6875, 0.730469, 0.683594, 0.591797, 0.484375, 0.379395, 0.286621, 0.210022, 
0.65, 0, 0.242188, 0.464844, 0.597656, 0.640625, 0.616211, 0.550293, 0.464844, 0.375732, 0.292877, 
0.75, 0, 0.121094, 0.292969, 0.445312, 0.542969, 0.57959, 0.564941, 0.514893, 0.445312, 0.369095, 
0.85, 0, 0.0605469, 0.176758, 0.311035, 0.427002, 0.503296, 0.534119, 0.524506, 0.484909, 0.427002, 
0.95, 0, 0.0302734, 0.103516, 0.207275, 0.317139, 0.410217, 0.472168, 0.498337, 0.491623, 0.459312, 
