space, pressure
0.0788029, 999486
0.0788929, 999483
0.0789829, 999480
0.0790729, 999477
0.0791629, 999473
0.0792529, 999470
0.0793429, 999467
0.0794329, 999464
0.079523, 999460
0.079613, 999457
0.079703, 999454
0.079793, 999451
0.079883, 999447
0.079973, 999444
0.080063, 999441
0.080153, 999437
0.080243, 999434
0.080333, 999430
0.080423, 999427
0.0805131, 999424
0.0806031, 999420
0.0806931, 999417
0.0807831, 999413
0.0808731, 999410
0.0809631, 999407
0.0810531, 999403
0.0811431, 999400
0.0812331, 999396
0.0813231, 999393
0.0814131, 999389
0.0815032, 999386
0.0815932, 999382
0.0816832, 999379
0.0817732, 999375
0.0818632, 999372
0.0819532, 999368
0.0820432, 999365
0.0821332, 999361
0.0822232, 999357
0.0823132, 999354
0.0824032, 999350
0.0824932, 999347
0.0825833, 999343
0.0826733, 999339
0.0827633, 999336
0.0828533, 999332
0.0829433, 999328
0.0830333, 999325
0.0831233, 999321
0.0832133, 999317
0.0833033, 999314
0.0833933, 999310
0.0834833, 999306
0.0835734, 999302
0.0836634, 999299
0.0837534, 999295
0.0838434, 999291
0.0839334, 999287
0.0840234, 999284
0.0841134, 999280
0.0842034, 999276
0.0842934, 999272
0.0843834, 999268
0.0844734, 999265
0.0845635, 999261
0.0846535, 999257
0.0847435, 999253
0.0848335, 999249
0.0849235, 999245
0.0850135, 999241
0.0851035, 999238
0.0851935, 999234
0.0852835, 999230
0.0853735, 999226
0.0854635, 999222
0.0855536, 999218
0.0856436, 999214
0.0857336, 999210
0.0858236, 999206
0.0859136, 999202
0.0860036, 999198
0.0860936, 999194
0.0861836, 999190
0.0862736, 999186
0.0863636, 999182
0.0864536, 999178
0.0865437, 999174
0.0866337, 999170
0.0867237, 999166
0.0868137, 999162
0.0869037, 999157
0.0869937, 999153
0.0870837, 999149
0.0871737, 999145
0.0872637, 999141
0.0873537, 999137
0.0874437, 999133
0.0875338, 999128
0.0876238, 999124
0.0877138, 999120
0.0878038, 999116
0.0878938, 999112
0.0879838, 999107
0.0880738, 999103
0.0881638, 999099
0.0882538, 999095
0.0883438, 999090
0.0884338, 999086
0.0885239, 999082
0.0886139, 999078
0.0887039, 999073
0.0887939, 999069
0.0888839, 999065
0.0889739, 999060
0.0890639, 999056
0.0891539, 999052
0.0892439, 999047
0.0893339, 999043
0.0894239, 999039
0.089514, 999034
0.089604, 999030
0.089694, 999025
0.089784, 999021
0.089874, 999017
0.089964, 999012
0.090054, 999008
0.090144, 999003
0.090234, 998999
0.090324, 998994
0.090414, 998990
0.0905041, 998985
0.0905941, 998981
0.0906841, 998976
0.0907741, 998972
0.0908641, 998967
0.0909541, 998963
0.0910441, 998958
0.0911341, 998953
0.0912241, 998949
0.0913141, 998944
0.0914041, 998940
0.0914941, 998935
0.0915842, 998930
0.0916742, 998926
0.0917642, 998921
0.0918542, 998917
0.0919442, 998912
0.0920342, 998907
0.0921242, 998903
0.0922142, 998898
0.0923042, 998893
0.0923942, 998888
0.0924842, 998884
0.0925743, 998879
0.0926643, 998874
0.0927543, 998869
0.0928443, 998865
0.0929343, 998860
0.0930243, 998855
0.0931143, 998850
0.0932043, 998846
0.0932943, 998841
0.0933843, 998836
0.0934743, 998831
0.0935644, 998826
0.0936544, 998821
0.0937444, 998817
0.0938344, 998812
0.0939244, 998807
0.0940144, 998802
0.0941044, 998797
0.0941944, 998792
0.0942844, 998787
0.0943744, 998782
0.0944644, 998777
0.0945545, 998772
0.0946445, 998767
0.0947345, 998762
0.0948245, 998757
0.0949145, 998752
0.0950045, 998747
0.0950945, 998742
0.0951845, 998737
0.0952745, 998732
0.0953645, 998727
0.0954545, 998722
0.0955446, 998717
0.0956346, 998712
0.0957246, 998707
0.0958146, 998702
0.0959046, 998697
0.0959946, 998692
0.0960846, 998687
0.0961746, 998682
0.0962646, 998676
0.0963546, 998671
0.0964446, 998666
0.0965347, 998661
0.0966247, 998656
0.0967147, 998651
0.0968047, 998645
0.0968947, 998640
0.0969847, 998635
0.0970747, 998630
0.0971647, 998624
0.0972547, 998619
0.0973447, 998614
0.0974347, 998609
0.0975248, 998603
0.0976148, 998598
0.0977048, 998593
0.0977948, 998588
0.0978848, 998582
0.0979748, 998577
0.0980648, 998572
0.0981548, 998566
0.0982448, 998561
0.0983348, 998555
0.0984248, 998550
0.0985149, 998545
0.0986049, 998539
0.0986949, 998534
0.0987849, 998528
0.0988749, 998523
0.0989649, 998518
0.0990549, 998512
0.0991449, 998507
0.0992349, 998501
0.0993249, 998496
0.0994149, 998490
0.099505, 998485
0.099595, 998479
0.099685, 998474
0.099775, 998468
0.099865, 998463
0.099955, 998457
0.100045, 998452
0.100135, 998446
0.100225, 998440
0.100315, 998435
0.100405, 998429
0.100495, 998424
0.100585, 998418
0.100675, 998412
0.100765, 998407
0.100855, 998401
0.100945, 998395
0.101035, 998390
0.101125, 998384
0.101215, 998378
0.101305, 998373
0.101395, 998367
0.101485, 998361
0.101575, 998355
0.101665, 998350
0.101755, 998344
0.101845, 998338
0.101935, 998332
0.102025, 998327
0.102115, 998321
0.102205, 998315
0.102295, 998309
0.102385, 998303
0.102475, 998298
0.102565, 998292
0.102655, 998286
0.102745, 998280
0.102835, 998274
0.102925, 998268
0.103015, 998262
0.103105, 998257
0.103195, 998251
0.103285, 998245
0.103375, 998239
0.103465, 998233
0.103555, 998227
0.103645, 998221
0.103735, 998215
0.103825, 998209
0.103915, 998203
0.104005, 998197
0.104095, 998191
0.104185, 998185
0.104275, 998179
0.104365, 998173
0.104455, 998167
0.104545, 998161
0.104635, 998155
0.104725, 998149
0.104815, 998143
0.104905, 998136
0.104995, 998130
0.105086, 998124
0.105176, 998118
0.105266, 998112
0.105356, 998106
0.105446, 998100
0.105536, 998093
0.105626, 998087
0.105716, 998081
0.105806, 998075
0.105896, 998069
0.105986, 998062
0.106076, 998056
0.106166, 998050
0.106256, 998044
0.106346, 998037
0.106436, 998031
0.106526, 998025
0.106616, 998019
0.106706, 998012
0.106796, 998006
0.106886, 998000
0.106976, 997993
0.107066, 997987
0.107156, 997981
0.107246, 997974
