space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.017325, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471487, 0.000471621, 0.000472991, 
0.017775, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471482, 0.000471534, 0.00047213, 
0.018225, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.00047148, 0.0004715, 0.000471753, 
0.018675, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471487, 0.000471591, 
0.019125, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471482, 0.000471524, 
0.019575, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.00047148, 0.000471497, 
0.020025, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471486, 
0.020475, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471481, 
0.020925, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.00047148, 
0.021375, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.021825, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.022275, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.022725, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.023175, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.023625, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.024075, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.024525, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.024975, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.025425, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.025875, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.026325, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.026775, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.027225, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.027675, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.028125, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.028575, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.029025, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.029475, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.029925, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.030375, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.030825, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.031275, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.031725, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.032175, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.032625, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.033075, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.033525, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.033975, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.034425, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
0.034875, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 
