space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.013725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71551e-09, 4.72913e-09, 4.86987e-09, 5.76772e-09, 9.65639e-09, 
0.014175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71502e-09, 4.72023e-09, 4.78174e-09, 5.22405e-09, 7.36423e-09, 
0.014625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71486e-09, 4.71679e-09, 4.74284e-09, 4.9538e-09, 6.09191e-09, 
0.015075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71481e-09, 4.7155e-09, 4.7262e-09, 4.82374e-09, 5.40975e-09, 
0.015525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71504e-09, 4.7193e-09, 4.76307e-09, 5.05569e-09, 
0.015975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71653e-09, 4.73561e-09, 4.87749e-09, 
0.016425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71544e-09, 4.72353e-09, 4.7904e-09, 
0.016875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71503e-09, 4.71836e-09, 4.74903e-09, 
0.017325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71621e-09, 4.72991e-09, 
0.017775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71534e-09, 4.7213e-09, 
0.018225, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.715e-09, 4.71753e-09, 
0.018675, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71591e-09, 
0.019125, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71524e-09, 
0.019575, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71497e-09, 
0.020025, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71486e-09, 
0.020475, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71481e-09, 
0.020925, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 
0.021375, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.021825, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.022275, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.022725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.023175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.023625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.025425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.025875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.026325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.026775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.027225, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.027675, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.028125, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.028575, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.029025, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.029475, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.029925, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.030375, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.030825, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.031275, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.031725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.032175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.032625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.033075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.033525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.033975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.034425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.034875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.035325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.035775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.036225, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.036675, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.037125, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.037575, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.038025, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.038475, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.038925, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.039375, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.039825, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.040275, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.040725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.041175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.041625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.042075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.042525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.042975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.043425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.043875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.044325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.044775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
