space, velocityNx=40
0, 0.1
0.025, 0.103911
0.05, 0.115261
0.075, 0.132938
0.1, 0.155213
0.125, 0.179906
0.15, 0.204598
0.175, 0.226873
0.2, 0.244551
0.225, 0.2559
0.25, 0.259811
0.275, 0.2559
0.3, 0.244551
0.325, 0.226873
0.35, 0.204598
0.375, 0.179906
0.4, 0.155213
0.425, 0.132938
0.45, 0.115261
0.475, 0.103911
0.5, 0.1
0.525, 0.103911
0.55, 0.115261
0.575, 0.132938
0.6, 0.155213
0.625, 0.179906
0.65, 0.204598
0.675, 0.226873
0.7, 0.244551
0.725, 0.2559
0.75, 0.259811
0.775, 0.2559
0.8, 0.244551
0.825, 0.226873
0.85, 0.204598
0.875, 0.179906
0.9, 0.155213
0.925, 0.132938
0.95, 0.115261
0.975, 0.103911
1, 0.1
