space, pressureNx=40
0.025, 987337
0.049359, 961049
0.0737179, 931971
0.0980769, 898544
0.122436, 859640
0.146795, 814664
0.171154, 763615
0.195513, 707088
0.219872, 646214
0.244231, 582549
0.26859, 517922
0.292949, 454257
0.317308, 393383
0.341667, 336856
0.366026, 285808
0.390385, 240831
0.414744, 201927
0.439103, 168501
0.463462, 139422
0.487821, 113135
0.512179, 87808.7
0.536538, 61521.1
0.560897, 32442.2
0.585256, -983.903
0.609615, -39888
0.633974, -84864.4
0.658333, -135913
0.682692, -192440
0.707051, -253314
0.73141, -316979
0.755769, -381606
0.780128, -445271
0.804487, -506145
0.828846, -562672
0.853205, -613721
0.877564, -658697
0.901923, -697601
0.926282, -731027
0.950641, -760106
0.975, -786394
