space, pressureNx=160
0.00625, 996872
0.0124607, 990602
0.0186714, 984286
0.0248821, 977893
0.0310928, 971395
0.0373035, 964762
0.0435142, 957965
0.0497248, 950977
0.0559355, 943773
0.0621462, 936327
0.0683569, 928616
0.0745676, 920619
0.0807783, 912315
0.086989, 903687
0.0931997, 894719
0.0994104, 885396
0.105621, 875707
0.111832, 865642
0.118042, 855194
0.124253, 844359
0.130464, 833135
0.136675, 821520
0.142885, 809517
0.149096, 797132
0.155307, 784372
0.161517, 771245
0.167728, 757764
0.173939, 743942
0.180149, 729796
0.18636, 715344
0.192571, 700605
0.198781, 685601
0.204992, 670356
0.211203, 654893
0.217414, 639240
0.223624, 623424
0.229835, 607473
0.236046, 591415
0.242256, 575282
0.248467, 559102
0.254678, 542908
0.260888, 526729
0.267099, 510595
0.27331, 494538
0.27952, 478586
0.285731, 462770
0.291942, 447117
0.298153, 431655
0.304363, 416409
0.310574, 401405
0.316785, 386666
0.322995, 372214
0.329206, 358068
0.335417, 344246
0.341627, 330765
0.347838, 317639
0.354049, 304878
0.360259, 292493
0.36647, 280491
0.372681, 268876
0.378892, 257651
0.385102, 246816
0.391313, 236369
0.397524, 226304
0.403734, 216615
0.409945, 207292
0.416156, 198323
0.422366, 189695
0.428577, 181391
0.434788, 173394
0.440998, 165683
0.447209, 158237
0.45342, 151033
0.459631, 144046
0.465841, 137249
0.472052, 130615
0.478263, 124117
0.484473, 117725
0.490684, 111408
0.496895, 105138
0.503105, 98882.8
0.509316, 92612.4
0.515527, 86296.1
0.521737, 79903.6
0.527948, 73405.3
0.534159, 66771.9
0.540369, 59975.1
0.54658, 52987.6
0.552791, 45783.4
0.559002, 38337.6
0.565212, 30626.8
0.571423, 22629.6
0.577634, 14325.8
0.583844, 5697.67
0.590055, -3270.98
0.596266, -12594
0.602476, -22283.1
0.608687, -32347.8
0.614898, -42795.3
0.621108, -53630.2
0.627319, -64855.1
0.63353, -76469.9
0.639741, -88472.2
0.645951, -100857
0.652162, -113618
0.658373, -126745
0.664583, -140226
0.670794, -154047
0.677005, -168193
0.683215, -182646
0.689426, -197385
0.695637, -212389
0.701847, -227634
0.708058, -243096
0.714269, -258749
0.72048, -274566
0.72669, -290517
0.732901, -306574
0.739112, -322708
0.745322, -338887
0.751533, -355082
0.757744, -371261
0.763954, -387395
0.770165, -403452
0.776376, -419403
0.782586, -435220
0.788797, -450873
0.795008, -466335
0.801219, -481580
0.807429, -496584
0.81364, -511323
0.819851, -525776
0.826061, -539922
0.832272, -553743
0.838483, -567224
0.844693, -580351
0.850904, -593112
0.857115, -605497
0.863325, -617499
0.869536, -629114
0.875747, -640339
0.881958, -651174
0.888168, -661621
0.894379, -671686
0.90059, -681375
0.9068, -690698
0.913011, -699667
0.919222, -708295
0.925432, -716598
0.931643, -724596
0.937854, -732306
0.944064, -739752
0.950275, -746957
0.956486, -753944
0.962697, -760741
0.968907, -767374
0.975118, -773873
0.981329, -780265
0.987539, -786581
0.99375, -792852
