space, Nx=100
0, 0.0193283
0.01, 0.0203283
0.02, 0.0213283
0.03, 0.0223283
0.04, 0.0233283
0.05, 0.0243283
0.06, 0.0253283
0.07, 0.0263283
0.08, 0.0273283
0.09, 0.0283283
0.1, 0.0293283
0.11, 0.0303283
0.12, 0.0313283
0.13, 0.0323283
0.14, 0.0333283
0.15, 0.0343283
0.16, 0.0353283
0.17, 0.0363283
0.18, 0.0373283
0.19, 0.0383283
0.2, 0.0393283
0.21, 0.0403283
0.22, 0.0413283
0.23, 0.0423283
0.24, 0.0433283
0.25, 0.0443283
0.26, 0.0453283
0.27, 0.0463283
0.28, 0.0473283
0.29, 0.0483283
0.3, 0.0493283
0.31, 0.0503283
0.32, 0.0513283
0.33, 0.0523283
0.34, 0.0533283
0.35, 0.0543283
0.36, 0.0553283
0.37, 0.0563283
0.38, 0.0573283
0.39, 0.0583283
0.4, 0.0593283
0.41, 0.0603283
0.42, 0.0613283
0.43, 0.0623283
0.44, 0.0633283
0.45, 0.0643283
0.46, 0.0653283
0.47, 0.0663283
0.48, 0.0673283
0.49, 0.0683283
0.5, 0.0693283
0.51, 0.0703283
0.52, 0.0713283
0.53, 0.0723283
0.54, 0.0733283
0.55, 0.0743283
0.56, 0.0753283
0.57, 0.0763283
0.58, 0.0773283
0.59, 0.0783283
0.6, 0.0793283
0.61, 0.0803283
0.62, 0.0813283
0.63, 0.0823283
0.64, 0.0833283
0.65, 0.0843283
0.66, 0.0853283
0.67, 0.0863283
0.68, 0.0873283
0.69, 0.0883283
0.7, 0.0893283
0.71, 0.0903283
0.72, 0.0913283
0.73, 0.0923283
0.74, 0.0933283
0.75, 0.0943283
0.76, 0.0953283
0.77, 0.0963283
0.78, 0.0973283
0.79, 0.0983283
0.8, 0.0993283
0.81, 0.100328
0.82, 0.101328
0.83, 0.102328
0.84, 0.103328
0.85, 0.104328
0.86, 0.105328
0.87, 0.106328
0.88, 0.107328
0.89, 0.108328
0.9, 0.109328
0.91, 0.110328
0.92, 0.111328
0.93, 0.112328
0.94, 0.113328
0.95, 0.114328
0.96, 0.115328
0.97, 0.116328
0.98, 0.117328
0.99, 0.118328
1, 0.119328
