space, Nx=40
0.0125, 987325
0.0375, 961014
0.0625, 931912
0.0875, 898462
0.1125, 859534
0.1375, 814534
0.1625, 763462
0.1875, 706912
0.2125, 646014
0.2375, 582325
0.2625, 517675
0.2875, 453986
0.3125, 393088
0.3375, 336538
0.3625, 285466
0.3875, 240466
0.4125, 201538
0.4375, 168088
0.4625, 138986
0.4875, 112675
0.5125, 87325.3
0.5375, 61014
0.5625, 31911.6
0.5875, -1538.12
0.6125, -40465.8
0.6375, -85465.8
0.6625, -136538
0.6875, -193088
0.7125, -253986
0.7375, -317675
0.7625, -382325
0.7875, -446014
0.8125, -506912
0.8375, -563462
0.8625, -614534
0.8875, -659534
0.9125, -698462
0.9375, -731912
0.9625, -761014
0.9875, -787325
