space, Nx=80
0.00625, 993708
0.01875, 981003
0.03125, 967934
0.04375, 954270
0.05625, 939792
0.06875, 924304
0.08125, 907633
0.09375, 889635
0.10625, 870200
0.11875, 849251
0.13125, 826751
0.14375, 802700
0.15625, 777135
0.16875, 750133
0.18125, 721804
0.19375, 692292
0.20625, 661770
0.21875, 630434
0.23125, 598503
0.24375, 566208
0.25625, 533792
0.26875, 501497
0.28125, 469566
0.29375, 438230
0.30625, 407708
0.31875, 378196
0.33125, 349867
0.34375, 322865
0.35625, 297300
0.36875, 273249
0.38125, 250749
0.39375, 229800
0.40625, 210365
0.41875, 192367
0.43125, 175696
0.44375, 160208
0.45625, 145730
0.46875, 132066
0.48125, 118997
0.49375, 106292
0.50625, 93708.3
0.51875, 81002.7
0.53125, 67933.9
0.54375, 54269.7
0.55625, 39792.3
0.56875, 24304.4
0.58125, 7633.19
0.59375, -10364.8
0.60625, -29800.4
0.61875, -50749.1
0.63125, -73249.1
0.64375, -97300.4
0.65625, -122865
0.66875, -149867
0.68125, -178196
0.69375, -207708
0.70625, -238230
0.71875, -269566
0.73125, -301497
0.74375, -333792
0.75625, -366208
0.76875, -398503
0.78125, -430434
0.79375, -461770
0.80625, -492292
0.81875, -521804
0.83125, -550133
0.84375, -577135
0.85625, -602700
0.86875, -626751
0.88125, -649251
0.89375, -670200
0.90625, -689635
0.91875, -707633
0.93125, -724304
0.94375, -739792
0.95625, -754270
0.96875, -767934
0.98125, -781003
0.99375, -793708
