space, Nx=160
0.003125, 996860
0.009375, 990564
0.015625, 984223
0.021875, 977805
0.028125, 971282
0.034375, 964623
0.040625, 957801
0.046875, 950789
0.053125, 943559
0.059375, 936088
0.065625, 928353
0.071875, 920330
0.078125, 912001
0.084375, 903348
0.090625, 894354
0.096875, 885006
0.103125, 875292
0.109375, 865202
0.115625, 854729
0.121875, 843869
0.128125, 832619
0.134375, 820979
0.140625, 808952
0.146875, 796542
0.153125, 783756
0.159375, 770604
0.165625, 757098
0.171875, 743251
0.178125, 729080
0.184375, 714603
0.190625, 699838
0.196875, 684809
0.203125, 669539
0.209375, 654051
0.215625, 638373
0.221875, 622532
0.228125, 606555
0.234375, 590473
0.240625, 574314
0.246875, 558110
0.253125, 541890
0.259375, 525686
0.265625, 509527
0.271875, 493445
0.278125, 477468
0.284375, 461627
0.290625, 445949
0.296875, 430461
0.303125, 415191
0.309375, 400162
0.315625, 385397
0.321875, 370920
0.328125, 356749
0.334375, 342902
0.340625, 329396
0.346875, 316244
0.353125, 303458
0.359375, 291048
0.365625, 279021
0.371875, 267381
0.378125, 256131
0.384375, 245271
0.390625, 234798
0.396875, 224708
0.403125, 214994
0.409375, 205646
0.415625, 196652
0.421875, 187999
0.428125, 179670
0.434375, 171647
0.440625, 163912
0.446875, 156441
0.453125, 149211
0.459375, 142199
0.465625, 135377
0.471875, 128718
0.478125, 122195
0.484375, 115777
0.490625, 109436
0.496875, 103140
0.503125, 96859.9
0.509375, 90564.3
0.515625, 84222.9
0.521875, 77805.3
0.528125, 71281.9
0.534375, 64623.3
0.540625, 57801.4
0.546875, 50788.8
0.553125, 43559.4
0.559375, 36088.5
0.565625, 28352.6
0.571875, 20330.2
0.578125, 12001.4
0.584375, 3348.06
0.590625, -5645.71
0.596875, -14993.9
0.603125, -24708.1
0.609375, -34798
0.615625, -45270.5
0.621875, -56130.6
0.628125, -67380.6
0.634375, -79020.5
0.640625, -91048
0.646875, -103458
0.653125, -116244
0.659375, -129396
0.665625, -142902
0.671875, -156749
0.678125, -170920
0.684375, -185397
0.690625, -200162
0.696875, -215191
0.703125, -230461
0.709375, -245949
0.715625, -261627
0.721875, -277468
0.728125, -293445
0.734375, -309527
0.740625, -325686
0.746875, -341890
0.753125, -358110
0.759375, -374314
0.765625, -390473
0.771875, -406555
0.778125, -422532
0.784375, -438373
0.790625, -454051
0.796875, -469539
0.803125, -484809
0.809375, -499838
0.815625, -514603
0.821875, -529080
0.828125, -543251
0.834375, -557098
0.840625, -570604
0.846875, -583756
0.853125, -596542
0.859375, -608952
0.865625, -620979
0.871875, -632619
0.878125, -643869
0.884375, -654729
0.890625, -665202
0.896875, -675292
0.903125, -685006
0.909375, -694354
0.915625, -703348
0.921875, -712001
0.928125, -720330
0.934375, -728353
0.940625, -736088
0.946875, -743559
0.953125, -750789
0.959375, -757801
0.965625, -764623
0.971875, -771282
0.978125, -777805
0.984375, -784223
0.990625, -790564
0.996875, -796860
