space, Nx=20
0.05, 973712
0.0973684, 913904
0.144737, 835157
0.192105, 733002
0.239474, 611909
0.286842, 483582
0.334211, 362490
0.381579, 260334
0.428947, 181588
0.476316, 121779
0.523684, 69203.9
0.571053, 9395.17
0.618421, -69351.4
0.665789, -171507
0.713158, -292599
0.760526, -420926
0.807895, -542019
0.855263, -644174
0.902632, -722921
0.95, -782729
